system,paired_runs,mape_median_baseline,mape_median_improved,mape_median_difference,mape_p_value,mape_significant_0_05,mape_better,mae_median_baseline,mae_median_improved,mae_median_difference,mae_p_value,mae_significant_0_05,mae_better,rmse_median_baseline,rmse_median_improved,rmse_median_difference,rmse_p_value,rmse_significant_0_05,rmse_better
batlik,30,0.11839841143157015,0.02429529070906349,0.09424306935618967,1.862645149230957e-09,True,improved_v8,0.42749012222445515,0.08752961856217506,0.34106308404354924,1.862645149230957e-09,True,improved_v8,0.5683606483462097,0.13167321427119558,0.44093469455721845,1.862645149230957e-09,True,improved_v8
dconvert,30,0.05100806568076256,0.025022086960830525,0.025970030455320148,1.862645149230957e-09,True,improved_v8,0.13113673882248922,0.0742170774925876,0.05691740844283427,1.862645149230957e-09,True,improved_v8,0.18679343999883258,0.11217611666459192,0.07450241397175167,1.862645149230957e-09,True,improved_v8
h2,30,0.08453351876076542,0.052498870318113906,0.03202403822414533,1.862645149230957e-09,True,improved_v8,1211.9428548746391,481.8247498928541,728.6323921573179,1.862645149230957e-09,True,improved_v8,1414.125572873465,646.4567347161185,768.1383398007849,1.862645149230957e-09,True,improved_v8
jump3r,30,0.20885387543138295,0.14873818248999268,0.06038083441275717,1.862645149230957e-09,True,improved_v8,0.8614760283375646,0.6737852402312612,0.19148791938267895,1.862645149230957e-09,True,improved_v8,1.1428921132517786,1.0012576600080765,0.14449035051620102,1.862645149230957e-09,True,improved_v8
kanzi,30,6.633242942659592,0.12724537373909559,6.507324631305421,1.862645149230957e-09,True,improved_v8,40.44418105865377,2.173619967571613,38.25487733316218,1.862645149230957e-09,True,improved_v8,59.19865961345144,5.682128676562424,53.49600440416712,1.862645149230957e-09,True,improved_v8
lrzip,30,2.313483078106931,2.4145216693950546,-0.10272346428031187,0.0426517054438591,True,baseline_lr,15.05659225879069,15.425116892713682,-0.5369481141673615,0.00023163668811321259,True,baseline_lr,21.86094947357296,22.787348969597645,-0.30758639545674527,0.049710121005773544,True,baseline_lr
x264,30,0.6959817776132943,0.11706699238212376,0.583283348455529,1.862645149230957e-09,True,improved_v8,3.0073192847923025,1.1724140598617916,1.835379103873474,1.862645149230957e-09,True,improved_v8,3.9033746340983217,2.9123874059724115,1.032582494036405,1.862645149230957e-09,True,improved_v8
xz,30,0.8351597614072339,0.06037173382945665,0.775938203804887,1.862645149230957e-09,True,improved_v8,23.719771736774632,2.533952430373147,21.20506969537985,1.862645149230957e-09,True,improved_v8,30.403130770042917,7.441232639522522,23.012910604415296,1.862645149230957e-09,True,improved_v8
z3,30,4.204617387726229,0.005802316952823272,4.198948651980663,1.862645149230957e-09,True,improved_v8,41.54359185959999,0.3379318129316775,41.20378690420347,1.862645149230957e-09,True,improved_v8,48.480345600887794,0.7799246162314651,47.662013487535866,1.862645149230957e-09,True,improved_v8
